Invoice ID,Date,Category,Product,Unit Price (Naira),Quantity,Sales (Naira),Payment,COGS (Naira),Gross Income(Naira),
INV0001,1/1/2025,Food items,Beans,60000,3,180000,Cash,72000,216000,
INV0002,1/1/2025,Snacks,Chips,400,5,2000,Cash,480,2400,
INV0003,1/1/2025,Beverages,Fanta,2880,1,2880,Cash,3456,3456,
INV0004,1/1/2025,Household,Toothpaste,800,6,4800,Cash,960,5760,
INV0005,1/1/2025,Household,Shampoo,1200,3,3600,Card,1440,4320,
INV0006,1/1/2025,Snacks,Chocolate,3000,6,18000,Card,3600,21600,
INV0007,1/1/2025,Beverages,Pepsi,2880,2,5760,Transfer,3456,6912,
INV0008,1/1/2025,Beverages,Pepsi,2880,3,8640,Transfer,3456,10368,
INV0009,1/1/2025,Household,Shampoo,1200,5,6000,Cash,1440,7200,
INV0010,1/1/2025,Snacks,Biscuits,5200,2,10400,Transfer,6240,12480,
INV2878,1/1/2025,Food items,Eggs,3300,5,16500,Transfer,3960,19800,
INV3087,1/1/2025,Food items,Bread,500,10,5000,Card,600,6000,
INV3930,1/1/2025,Dairy,Milk,9100,2,18200,Card,10920,21840,
INV3965,1/1/2025,Sport,Dumbbells,400,6,2400,Card,480,2880,
INV4193,1/1/2025,Household,Bucket,2500,8,20000,Transfer,3000,24000,
INV4398,1/1/2025,Electronics,Extension Box,8000,6,48000,Transfer,9600,57600,
INV4432,1/1/2025,Sport,Football,2800,10,28000,Transfer,3360,33600,
INV4444,1/1/2025,Electronics,LED Bulb,500,2,1000,Cash,600,1200,
INV4471,1/1/2025,Pharmaceuticals,Paracetamol,1000,2,2000,Transfer,1200,2400,
INV4515,1/1/2025,Clothing,Shoes,15000,9,135000,Card,18000,162000,
INV4644,1/1/2025,Sport,Football,2800,4,11200,Card,3360,13440,
INV4777,1/1/2025,Electronics,Extension Box,8000,10,80000,Transfer,9600,96000,
INV4787,1/1/2025,Sport,Running Shoes,15000,6,90000,Transfer,18000,108000,
INV4804,1/1/2025,Food items,Rice,48000,8,384000,Transfer,57600,460800,
INV4918,1/1/2025,Food items,Garri,35000,10,350000,Card,42000,420000,
INV0011,1/2/2025,Food items,Rice,48000,4,192000,Card,57600,230400,
INV0012,1/2/2025,Food items,Bread,500,4,2000,Transfer,600,2400,
INV0013,1/2/2025,Food items,Rice,48000,8,384000,Card,57600,460800,
INV0014,1/2/2025,Snacks,Chips,400,4,1600,Transfer,480,1920,
INV0015,1/2/2025,Snacks,Chocolate,3000,3,9000,Card,3600,10800,
INV0016,1/2/2025,Household,Soap,1700,4,6800,Card,2040,8160,
INV0017,1/2/2025,Household,Shampoo,1200,9,10800,Card,1440,12960,
INV0018,1/2/2025,Household,Toothpaste,800,7,5600,Transfer,960,6720,
INV0019,1/2/2025,Household,Shampoo,1200,3,3600,Card,1440,4320,
INV0020,1/2/2025,Food items,Spaghetti,6000,6,36000,Card,7200,43200,
INV2748,1/2/2025,Food items,Tea,600,8,4800,Cash,720,5760,
INV2849,1/2/2025,Household,Soap,1700,3,5100,Cash,2040,6120,
INV3412,1/2/2025,Household,Soap,1700,2,3400,Card,2040,4080,
INV3763,1/2/2025,Food items,Rice,48000,8,384000,Cash,57600,460800,
INV3781,1/2/2025,Food items,Rice,48000,7,336000,Card,57600,403200,
INV3791,1/2/2025,Food items,Coffee,1900,2,3800,Transfer,2280,4560,
INV3832,1/2/2025,Household,Soap,1700,6,10200,Transfer,2040,12240,
INV4036,1/2/2025,Sport,Skipping Rope,3000,1,3000,Cash,3600,3600,
INV4248,1/2/2025,Clothing,T-shirt,8000,2,16000,Cash,9600,19200,
